HIERARCHY_ID,HIERARCHY_NAME,PARENT_HIERARCHY,SOURCE_COLUMN,CONDITION_TYPE,CONDITION_VALUE,MAPPED_VALUE,RAW_CONDITION
GL_NGL_SALES,NGL Sales,gl,account_code,ILIKE,513%,NGL Sales,"account_code ILIKE ANY ('503%', '512%', '513%')"
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,504%,Other Income,"account_code ILIKE ANY ('504%', '520%', '570%', '590-100', '590-110', '590-410', '590-510', '590-900')"
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,520%,Other Income,"account_code ILIKE ANY ('504%', '520%', '570%', '590-100', '590-110', '590-410', '590-510', '590-900')"
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,570%,Other Income,"account_code ILIKE ANY ('504%', '520%', '570%', '590-100', '590-110', '590-410', '590-510', '590-900')"
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,590-100,Other Income,"account_code ILIKE ANY ('504%', '520%', '570%', '590-100', '590-110', '590-410', '590-510', '590-900')"
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,590-110,Other Income,"account_code ILIKE ANY ('504%', '520%', '570%', '590-100', '590-110', '590-410', '590-510', '590-900')"
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,590-410,Other Income,"account_code ILIKE ANY ('504%', '520%', '570%', '590-100', '590-110', '590-410', '590-510', '590-900')"
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,590-510,Other Income,"account_code ILIKE ANY ('504%', '520%', '570%', '590-100', '590-110', '590-410', '590-510', '590-900')"
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,590-900,Other Income,"account_code ILIKE ANY ('504%', '520%', '570%', '590-100', '590-110', '590-410', '590-510', '590-900')"
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,514%,Cashouts,"account_code ILIKE ANY ('514%', '519%', '518-120', '590-710', '674%', '695%')"
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,519%,Cashouts,"account_code ILIKE ANY ('514%', '519%', '518-120', '590-710', '674%', '695%')"
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,518-120,Cashouts,"account_code ILIKE ANY ('514%', '519%', '518-120', '590-710', '674%', '695%')"
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,590-710,Cashouts,"account_code ILIKE ANY ('514%', '519%', '518-120', '590-710', '674%', '695%')"
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,674%,Cashouts,"account_code ILIKE ANY ('514%', '519%', '518-120', '590-710', '674%', '695%')"
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,695%,Cashouts,"account_code ILIKE ANY ('514%', '519%', '518-120', '590-710', '674%', '695%')"
GL_SERVICE_REVENUE,Service Revenue,gl,account_code,IN,515-100,Service Revenue,"account_code IN ('515-100', '515-990')"
GL_SERVICE_REVENUE,Service Revenue,gl,account_code,IN,515-990,Service Revenue,"account_code IN ('515-100', '515-990')"
GL_GATHERING_FEES,Gathering Fees,gl,account_code,IN,515-110,Gathering Fees,"account_code IN ('515-110', '515-199', '610-110', '610-120', '610-130')"
GL_GATHERING_FEES,Gathering Fees,gl,account_code,IN,515-199,Gathering Fees,"account_code IN ('515-110', '515-199', '610-110', '610-120', '610-130')"
GL_GATHERING_FEES,Gathering Fees,gl,account_code,IN,610-110,Gathering Fees,"account_code IN ('515-110', '515-199', '610-110', '610-120', '610-130')"
GL_GATHERING_FEES,Gathering Fees,gl,account_code,IN,610-120,Gathering Fees,"account_code IN ('515-110', '515-199', '610-110', '610-120', '610-130')"
GL_GATHERING_FEES,Gathering Fees,gl,account_code,IN,610-130,Gathering Fees,"account_code IN ('515-110', '515-199', '610-110', '610-120', '610-130')"
GL_COMPRESSION_FEES,Compression Fees,gl,account_code,IN,515-120,Compression Fees,"account_code IN ('515-120', '613-110', '613-120')"
GL_COMPRESSION_FEES,Compression Fees,gl,account_code,IN,613-110,Compression Fees,"account_code IN ('515-120', '613-110', '613-120')"
GL_COMPRESSION_FEES,Compression Fees,gl,account_code,IN,613-120,Compression Fees,"account_code IN ('515-120', '613-110', '613-120')"
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,515-130,Treating Fees,"account_code IN ('515-130', '515-140', '612-110', '612-120', '614-110', '614-120', '619-990')"
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,515-140,Treating Fees,"account_code IN ('515-130', '515-140', '612-110', '612-120', '614-110', '614-120', '619-990')"
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,612-110,Treating Fees,"account_code IN ('515-130', '515-140', '612-110', '612-120', '614-110', '614-120', '619-990')"
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,612-120,Treating Fees,"account_code IN ('515-130', '515-140', '612-110', '612-120', '614-110', '614-120', '619-990')"
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,614-110,Treating Fees,"account_code IN ('515-130', '515-140', '612-110', '612-120', '614-110', '614-120', '619-990')"
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,614-120,Treating Fees,"account_code IN ('515-130', '515-140', '612-110', '612-120', '614-110', '614-120', '619-990')"
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,619-990,Treating Fees,"account_code IN ('515-130', '515-140', '612-110', '612-120', '614-110', '614-120', '619-990')"
GL_CAPITAL_RECOVERY_FEES,Capital Recovery Fees,gl,account_code,IN,515-210,Capital Recovery Fees,"account_code IN ('515-210', '610-210', '610-220')"
GL_CAPITAL_RECOVERY_FEES,Capital Recovery Fees,gl,account_code,IN,610-210,Capital Recovery Fees,"account_code IN ('515-210', '610-210', '610-220')"
GL_CAPITAL_RECOVERY_FEES,Capital Recovery Fees,gl,account_code,IN,610-220,Capital Recovery Fees,"account_code IN ('515-210', '610-210', '610-220')"
GL_DEMAND_FEES,Demand Fees,gl,account_code,=,517-110,Demand Fees,account_code = '517-110'
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,517%,Transportation Fees,"account_code ILIKE ANY ('517%', '611-210', '611-220', '613-130', '613-140', '619-110', '619-120', '619-275', '619-991')"
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,611-210,Transportation Fees,"account_code ILIKE ANY ('517%', '611-210', '611-220', '613-130', '613-140', '619-110', '619-120', '619-275', '619-991')"
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,611-220,Transportation Fees,"account_code ILIKE ANY ('517%', '611-210', '611-220', '613-130', '613-140', '619-110', '619-120', '619-275', '619-991')"
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,613-130,Transportation Fees,"account_code ILIKE ANY ('517%', '611-210', '611-220', '613-130', '613-140', '619-110', '619-120', '619-275', '619-991')"
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,613-140,Transportation Fees,"account_code ILIKE ANY ('517%', '611-210', '611-220', '613-130', '613-140', '619-110', '619-120', '619-275', '619-991')"
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,619-110,Transportation Fees,"account_code ILIKE ANY ('517%', '611-210', '611-220', '613-130', '613-140', '619-110', '619-120', '619-275', '619-991')"
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,619-120,Transportation Fees,"account_code ILIKE ANY ('517%', '611-210', '611-220', '613-130', '613-140', '619-110', '619-120', '619-275', '619-991')"
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,619-275,Transportation Fees,"account_code ILIKE ANY ('517%', '611-210', '611-220', '613-130', '613-140', '619-110', '619-120', '619-275', '619-991')"
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,619-991,Transportation Fees,"account_code ILIKE ANY ('517%', '611-210', '611-220', '613-130', '613-140', '619-110', '619-120', '619-275', '619-991')"
GL_SERVICE_INCOME,Service Income,gl,account_code,=,530-100,Service Income,account_code = '530-100'
GL_SAND_SALES,Sand Sales,gl,account_code,IN,530-110,Sand Sales,"account_code IN ('530-110', '530-111', '530-990')"
GL_SAND_SALES,Sand Sales,gl,account_code,IN,530-111,Sand Sales,"account_code IN ('530-110', '530-111', '530-990')"
GL_SAND_SALES,Sand Sales,gl,account_code,IN,530-990,Sand Sales,"account_code IN ('530-110', '530-111', '530-990')"
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,515-205,Rental Income,"account_code IN ('515-205', '530-120', '530-140', '530-720', '530-990', '530-991', '530-993', '590-310')"
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-120,Rental Income,"account_code IN ('515-205', '530-120', '530-140', '530-720', '530-990', '530-991', '530-993', '590-310')"
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-140,Rental Income,"account_code IN ('515-205', '530-120', '530-140', '530-720', '530-990', '530-991', '530-993', '590-310')"
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-720,Rental Income,"account_code IN ('515-205', '530-120', '530-140', '530-720', '530-990', '530-991', '530-993', '590-310')"
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-990,Rental Income,"account_code IN ('515-205', '530-120', '530-140', '530-720', '530-990', '530-991', '530-993', '590-310')"
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-991,Rental Income,"account_code IN ('515-205', '530-120', '530-140', '530-720', '530-990', '530-991', '530-993', '590-310')"
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-993,Rental Income,"account_code IN ('515-205', '530-120', '530-140', '530-720', '530-990', '530-991', '530-993', '590-310')"
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,590-310,Rental Income,"account_code IN ('515-205', '530-120', '530-140', '530-720', '530-990', '530-991', '530-993', '590-310')"
GL_WATER_INCOME,Water Income,gl,account_code,IN,530-150,Water Income,"account_code IN ('530-150', '530-994', '590-620')"
GL_WATER_INCOME,Water Income,gl,account_code,IN,530-994,Water Income,"account_code IN ('530-150', '530-994', '590-620')"
GL_WATER_INCOME,Water Income,gl,account_code,IN,590-620,Water Income,"account_code IN ('530-150', '530-994', '590-620')"
GL_SWD_INCOME,SWD Income,gl,account_code,IN,530-160,SWD Income,"account_code IN ('530-160', '530-995', '590-610')"
GL_SWD_INCOME,SWD Income,gl,account_code,IN,530-995,SWD Income,"account_code IN ('530-160', '530-995', '590-610')"
GL_SWD_INCOME,SWD Income,gl,account_code,IN,590-610,SWD Income,"account_code IN ('530-160', '530-995', '590-610')"
GL_CONSULTING_INCOME,Consulting Income,gl,account_code,IN,530-170,Consulting Income,"account_code IN ('530-170', '530-996')"
GL_CONSULTING_INCOME,Consulting Income,gl,account_code,IN,530-996,Consulting Income,"account_code IN ('530-170', '530-996')"
GL_FUEL_INCOME,Fuel Income,gl,account_code,IN,530-180,Fuel Income,"account_code IN ('530-180', '530-997')"
GL_FUEL_INCOME,Fuel Income,gl,account_code,IN,530-997,Fuel Income,"account_code IN ('530-180', '530-997')"
GL_HEDGE_GAINS,Hedge Gains,gl,account_code,ILIKE,580%,Hedge Gains,account_code ILIKE '580%'
GL_INTEREST_HEDGE_GAINS,Interest Hedge Gains,gl,account_code,=,581-540,Interest Hedge Gains,account_code = '581-540'
GL_UNREALIZED_HEDGE_GAINS,Unrealized Hedge Gains,gl,account_code,ILIKE,581%,Unrealized Hedge Gains,account_code ILIKE '581%'
GL_COPAS,COPAS,gl,account_code,IN,590-210,COPAS,"account_code IN ('590-210', '590-211', '590-990', '640-992')"
GL_COPAS,COPAS,gl,account_code,IN,590-211,COPAS,"account_code IN ('590-210', '590-211', '590-990', '640-992')"
GL_COPAS,COPAS,gl,account_code,IN,590-990,COPAS,"account_code IN ('590-210', '590-211', '590-990', '640-992')"
GL_COPAS,COPAS,gl,account_code,IN,640-992,COPAS,"account_code IN ('590-210', '590-211', '590-990', '640-992')"
GL_COMPRESSOR_RECOVERY_INCOM,Compressor Recovery Income,gl,account_code,=,590-555,Compressor Recovery Income,account_code = '590-555'
GL_RIG_TERMINATION_PENALTIES,Rig Termination Penalties,gl,account_code,=,590-850,Rig Termination Penalties,account_code = '590-850'
GL_GATHERING_FEE_INCOME,Gathering Fee Income,gl,account_code,=,590-991,Gathering Fee Income,account_code = '590-991'
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-100,Oil Severance Taxes,"account_code IN ('601-100', '601-110', '601-113', '601-120', '601-123', '601-275', '601-990')"
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-110,Oil Severance Taxes,"account_code IN ('601-100', '601-110', '601-113', '601-120', '601-123', '601-275', '601-990')"
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-113,Oil Severance Taxes,"account_code IN ('601-100', '601-110', '601-113', '601-120', '601-123', '601-275', '601-990')"
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-120,Oil Severance Taxes,"account_code IN ('601-100', '601-110', '601-113', '601-120', '601-123', '601-275', '601-990')"
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-123,Oil Severance Taxes,"account_code IN ('601-100', '601-110', '601-113', '601-120', '601-123', '601-275', '601-990')"
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-275,Oil Severance Taxes,"account_code IN ('601-100', '601-110', '601-113', '601-120', '601-123', '601-275', '601-990')"
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-990,Oil Severance Taxes,"account_code IN ('601-100', '601-110', '601-113', '601-120', '601-123', '601-275', '601-990')"
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-100,Gas Severance Taxes,"account_code IN ('602-100', '602-110', '602-113', '602-120', '602-123', '602-275', '602-990')"
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-110,Gas Severance Taxes,"account_code IN ('602-100', '602-110', '602-113', '602-120', '602-123', '602-275', '602-990')"
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-113,Gas Severance Taxes,"account_code IN ('602-100', '602-110', '602-113', '602-120', '602-123', '602-275', '602-990')"
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-120,Gas Severance Taxes,"account_code IN ('602-100', '602-110', '602-113', '602-120', '602-123', '602-275', '602-990')"
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-123,Gas Severance Taxes,"account_code IN ('602-100', '602-110', '602-113', '602-120', '602-123', '602-275', '602-990')"
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-275,Gas Severance Taxes,"account_code IN ('602-100', '602-110', '602-113', '602-120', '602-123', '602-275', '602-990')"
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-990,Gas Severance Taxes,"account_code IN ('602-100', '602-110', '602-113', '602-120', '602-123', '602-275', '602-990')"
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-100,NGL Severance Taxes,"account_code IN ('603-100', '603-110', '603-113', '603-120', '603-123', '603-275', '603-990')"
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-110,NGL Severance Taxes,"account_code IN ('603-100', '603-110', '603-113', '603-120', '603-123', '603-275', '603-990')"
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-113,NGL Severance Taxes,"account_code IN ('603-100', '603-110', '603-113', '603-120', '603-123', '603-275', '603-990')"
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-120,NGL Severance Taxes,"account_code IN ('603-100', '603-110', '603-113', '603-120', '603-123', '603-275', '603-990')"
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-123,NGL Severance Taxes,"account_code IN ('603-100', '603-110', '603-113', '603-120', '603-123', '603-275', '603-990')"
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-275,NGL Severance Taxes,"account_code IN ('603-100', '603-110', '603-113', '603-120', '603-123', '603-275', '603-990')"
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-990,NGL Severance Taxes,"account_code IN ('603-100', '603-110', '603-113', '603-120', '603-123', '603-275', '603-990')"
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,601-112,Ad Valorem Taxes,"account_code IN ('601-112', '601-122', '602-112', '602-122', '603-112', '603-122', '640-120', '640-991')"
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,601-122,Ad Valorem Taxes,"account_code IN ('601-112', '601-122', '602-112', '602-122', '603-112', '603-122', '640-120', '640-991')"
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,602-112,Ad Valorem Taxes,"account_code IN ('601-112', '601-122', '602-112', '602-122', '603-112', '603-122', '640-120', '640-991')"
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,602-122,Ad Valorem Taxes,"account_code IN ('601-112', '601-122', '602-112', '602-122', '603-112', '603-122', '640-120', '640-991')"
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,603-112,Ad Valorem Taxes,"account_code IN ('601-112', '601-122', '602-112', '602-122', '603-112', '603-122', '640-120', '640-991')"
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,603-122,Ad Valorem Taxes,"account_code IN ('601-112', '601-122', '602-112', '602-122', '603-112', '603-122', '640-120', '640-991')"
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,640-120,Ad Valorem Taxes,"account_code IN ('601-112', '601-122', '602-112', '602-122', '603-112', '603-122', '640-120', '640-991')"
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,640-991,Ad Valorem Taxes,"account_code IN ('601-112', '601-122', '602-112', '602-122', '603-112', '603-122', '640-120', '640-991')"
GL_OIL_CONSERVATION_TAXES,Oil Conservation Taxes,gl,account_code,IN,601-111,Oil Conservation Taxes,"account_code IN ('601-111', '601-121')"
GL_OIL_CONSERVATION_TAXES,Oil Conservation Taxes,gl,account_code,IN,601-121,Oil Conservation Taxes,"account_code IN ('601-111', '601-121')"
GL_GAS_CONSERVATION_TAXES,Gas Conservation Taxes,gl,account_code,IN,602-111,Gas Conservation Taxes,"account_code IN ('602-111', '602-121')"
GL_GAS_CONSERVATION_TAXES,Gas Conservation Taxes,gl,account_code,IN,602-121,Gas Conservation Taxes,"account_code IN ('602-111', '602-121')"
GL_NGL_CONSERVATION_TAXES,NGL Conservation Taxes,gl,account_code,IN,603-111,NGL Conservation Taxes,"account_code IN ('603-111', '603-121')"
GL_NGL_CONSERVATION_TAXES,NGL Conservation Taxes,gl,account_code,IN,603-121,NGL Conservation Taxes,"account_code IN ('603-111', '603-121')"
GL_COMMODITY_FEES,Commodity Fees,gl,account_code,=,611-110,Commodity Fees,account_code = '611-110'
GL_NON-OP_FEES,Non-Op Fees,gl,account_code,ILIKE,611-120,Non-Op Fees,"account_code ILIKE ANY ('611-120', '62%')"
GL_NON-OP_FEES,Non-Op Fees,gl,account_code,ILIKE,62%,Non-Op Fees,"account_code ILIKE ANY ('611-120', '62%')"
GL_CONSULTING_EXPENSES,Consulting Expenses,gl,account_code,ILIKE,630-1%,Consulting Expenses,"account_code ILIKE ANY ('630-1%', '710-170', '710-996')"
GL_CONSULTING_EXPENSES,Consulting Expenses,gl,account_code,ILIKE,710-170,Consulting Expenses,"account_code ILIKE ANY ('630-1%', '710-170', '710-996')"
GL_CONSULTING_EXPENSES,Consulting Expenses,gl,account_code,ILIKE,710-996,Consulting Expenses,"account_code ILIKE ANY ('630-1%', '710-170', '710-996')"
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-110,Lease Operating Expenses,"account_code IN ('640-110', '640-100', '640-275', '640-300', '640-990', '641-110', '641-100', '641-990')"
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-100,Lease Operating Expenses,"account_code IN ('640-110', '640-100', '640-275', '640-300', '640-990', '641-110', '641-100', '641-990')"
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-275,Lease Operating Expenses,"account_code IN ('640-110', '640-100', '640-275', '640-300', '640-990', '641-110', '641-100', '641-990')"
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-300,Lease Operating Expenses,"account_code IN ('640-110', '640-100', '640-275', '640-300', '640-990', '641-110', '641-100', '641-990')"
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-990,Lease Operating Expenses,"account_code IN ('640-110', '640-100', '640-275', '640-300', '640-990', '641-110', '641-100', '641-990')"
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,641-110,Lease Operating Expenses,"account_code IN ('640-110', '640-100', '640-275', '640-300', '640-990', '641-110', '641-100', '641-990')"
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,641-100,Lease Operating Expenses,"account_code IN ('640-110', '640-100', '640-275', '640-300', '640-990', '641-110', '641-100', '641-990')"
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,641-990,Lease Operating Expenses,"account_code IN ('640-110', '640-100', '640-275', '640-300', '640-990', '641-110', '641-100', '641-990')"
GL_ACCRETION_EXPENSE,Accretion Expense,gl,account_code,IN,641-150,Accretion Expense,"account_code IN ('641-150', '963-100')"
GL_ACCRETION_EXPENSE,Accretion Expense,gl,account_code,IN,963-100,Accretion Expense,"account_code IN ('641-150', '963-100')"
GL_LEASEHOLD_EXPENSES,Leasehold Expenses,gl,account_code,ILIKE,642%,Leasehold Expenses,account_code ILIKE '642%'
GL_EXPLORATION_EXPENSES,Exploration Expenses,gl,account_code,ILIKE,645%,Exploration Expenses,account_code ILIKE '645%'
GL_THIRD_PARTY_FEES_PAID,Third Party Fees Paid,gl,account_code,ILIKE,650%,Third Party Fees Paid,"account_code ILIKE ANY ('650%', '660%', '667%', '668%')"
GL_THIRD_PARTY_FEES_PAID,Third Party Fees Paid,gl,account_code,ILIKE,660%,Third Party Fees Paid,"account_code ILIKE ANY ('650%', '660%', '667%', '668%')"
GL_THIRD_PARTY_FEES_PAID,Third Party Fees Paid,gl,account_code,ILIKE,667%,Third Party Fees Paid,"account_code ILIKE ANY ('650%', '660%', '667%', '668%')"
GL_THIRD_PARTY_FEES_PAID,Third Party Fees Paid,gl,account_code,ILIKE,668%,Third Party Fees Paid,"account_code ILIKE ANY ('650%', '660%', '667%', '668%')"
GL_MIDSTREAM_OPERATING_EXPEN,Midstream Operating Expenses,gl,account_code,ILIKE,665%,Midstream Operating Expenses,"account_code ILIKE ANY ('665%', '666%', '669%')"
GL_MIDSTREAM_OPERATING_EXPEN,Midstream Operating Expenses,gl,account_code,ILIKE,666%,Midstream Operating Expenses,"account_code ILIKE ANY ('665%', '666%', '669%')"
GL_MIDSTREAM_OPERATING_EXPEN,Midstream Operating Expenses,gl,account_code,ILIKE,669%,Midstream Operating Expenses,"account_code ILIKE ANY ('665%', '666%', '669%')"
GL_COST_OF_PURCHASED_GAS,Cost of Purchased Gas,gl,account_code,ILIKE,670%,Cost of Purchased Gas,"account_code ILIKE ANY ('670%', '680%', '690%', '691%')"
GL_COST_OF_PURCHASED_GAS,Cost of Purchased Gas,gl,account_code,ILIKE,680%,Cost of Purchased Gas,"account_code ILIKE ANY ('670%', '680%', '690%', '691%')"
GL_COST_OF_PURCHASED_GAS,Cost of Purchased Gas,gl,account_code,ILIKE,690%,Cost of Purchased Gas,"account_code ILIKE ANY ('670%', '680%', '690%', '691%')"
GL_COST_OF_PURCHASED_GAS,Cost of Purchased Gas,gl,account_code,ILIKE,691%,Cost of Purchased Gas,"account_code ILIKE ANY ('670%', '680%', '690%', '691%')"
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,700-100,Sand Purchases,"account_code IN ('700-100', '700-110', '700-800', '700-990', '701-100', '701-110')"
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,700-110,Sand Purchases,"account_code IN ('700-100', '700-110', '700-800', '700-990', '701-100', '701-110')"
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,700-800,Sand Purchases,"account_code IN ('700-100', '700-110', '700-800', '700-990', '701-100', '701-110')"
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,700-990,Sand Purchases,"account_code IN ('700-100', '700-110', '700-800', '700-990', '701-100', '701-110')"
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,701-100,Sand Purchases,"account_code IN ('700-100', '700-110', '700-800', '700-990', '701-100', '701-110')"
GL_SAND_PURCHASES,Sand Purchases,gl,account_code,IN,701-110,Sand Purchases,"account_code IN ('700-100', '700-110', '700-800', '700-990', '701-100', '701-110')"
GL_WATER_PURCHASES,Water Purchases,gl,account_code,IN,700-150,Water Purchases,"account_code IN ('700-150', '700-994')"
GL_WATER_PURCHASES,Water Purchases,gl,account_code,IN,700-994,Water Purchases,"account_code IN ('700-150', '700-994')"
GL_FUEL_PURCHASES,Fuel Purchases,gl,account_code,IN,700-180,Fuel Purchases,"account_code IN ('700-180', '700-997')"
GL_FUEL_PURCHASES,Fuel Purchases,gl,account_code,IN,700-997,Fuel Purchases,"account_code IN ('700-180', '700-997')"
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-100,Rental Expenses,"account_code IN ('710-100', '710-120', '710-140', '710-300', '710-301', '710-991', '710-992', '710-993', '720-120', '720-985')"
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-120,Rental Expenses,"account_code IN ('710-100', '710-120', '710-140', '710-300', '710-301', '710-991', '710-992', '710-993', '720-120', '720-985')"
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-140,Rental Expenses,"account_code IN ('710-100', '710-120', '710-140', '710-300', '710-301', '710-991', '710-992', '710-993', '720-120', '720-985')"
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-300,Rental Expenses,"account_code IN ('710-100', '710-120', '710-140', '710-300', '710-301', '710-991', '710-992', '710-993', '720-120', '720-985')"
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-301,Rental Expenses,"account_code IN ('710-100', '710-120', '710-140', '710-300', '710-301', '710-991', '710-992', '710-993', '720-120', '720-985')"
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-991,Rental Expenses,"account_code IN ('710-100', '710-120', '710-140', '710-300', '710-301', '710-991', '710-992', '710-993', '720-120', '720-985')"
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-992,Rental Expenses,"account_code IN ('710-100', '710-120', '710-140', '710-300', '710-301', '710-991', '710-992', '710-993', '720-120', '720-985')"
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,710-993,Rental Expenses,"account_code IN ('710-100', '710-120', '710-140', '710-300', '710-301', '710-991', '710-992', '710-993', '720-120', '720-985')"
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,720-120,Rental Expenses,"account_code IN ('710-100', '710-120', '710-140', '710-300', '710-301', '710-991', '710-992', '710-993', '720-120', '720-985')"
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,720-985,Rental Expenses,"account_code IN ('710-100', '710-120', '710-140', '710-300', '710-301', '710-991', '710-992', '710-993', '720-120', '720-985')"
GL_SAND_EXPENSES,Sand Expenses,gl,account_code,IN,710-110,Sand Expenses,"account_code IN ('710-110', '710-990')"
