HIERARCHY_ID,HIERARCHY_NAME,PARENT_ID,DESCRIPTION,LEVEL_1,LEVEL_2,SOURCE_COLUMN,ENTITY_TYPE,IS_LEAF_NODE,SORT_ORDER
GL_ACCRETION_EXPENSE,Accretion Expense,GL,Maps account_code to 'Accretion Expense',gl,Accretion Expense,account_code,account,true,54
GL_LEASEHOLD_EXPENSES,Leasehold Expenses,GL,Maps account_code to 'Leasehold Expenses',gl,Leasehold Expenses,account_code,account,true,55
GL_EXPLORATION_EXPENSES,Exploration Expenses,GL,Maps account_code to 'Exploration Expenses',gl,Exploration Expenses,account_code,account,true,56
GL_THIRD_PARTY_FEES_PAID,Third Party Fees Paid,GL,Maps account_code to 'Third Party Fees Paid',gl,Third Party Fees Paid,account_code,account,true,57
GL_MIDSTREAM_OPERATING_EXPEN,Midstream Operating Expenses,GL,Maps account_code to 'Midstream Operating Expenses',gl,Midstream Operating Expenses,account_code,account,true,58
GL_COST_OF_PURCHASED_GAS,Cost of Purchased Gas,GL,Maps account_code to 'Cost of Purchased Gas',gl,Cost of Purchased Gas,account_code,account,true,59
GL_SAND_PURCHASES,Sand Purchases,GL,Maps account_code to 'Sand Purchases',gl,Sand Purchases,account_code,account,true,60
GL_WATER_PURCHASES,Water Purchases,GL,Maps account_code to 'Water Purchases',gl,Water Purchases,account_code,account,true,61
GL_FUEL_PURCHASES,Fuel Purchases,GL,Maps account_code to 'Fuel Purchases',gl,Fuel Purchases,account_code,account,true,62
GL_RENTAL_EXPENSES,Rental Expenses,GL,Maps account_code to 'Rental Expenses',gl,Rental Expenses,account_code,account,true,63
GL_SAND_EXPENSES,Sand Expenses,GL,Maps account_code to 'Sand Expenses',gl,Sand Expenses,account_code,account,true,64
GL_WATER_EXPENSES,Water Expenses,GL,Maps account_code to 'Water Expenses',gl,Water Expenses,account_code,account,true,65
GL_SWD_EXPENSES,SWD Expenses,GL,Maps account_code to 'SWD Expenses',gl,SWD Expenses,account_code,account,true,66
GL_FUEL_EXPENSES,Fuel Expenses,GL,Maps account_code to 'Fuel Expenses',gl,Fuel Expenses,account_code,account,true,67
GL_GENERAL_&_ADMINISTRATIVE,General & Administrative,GL,Maps account_code to 'General & Administrative',gl,General & Administrative,account_code,account,true,68
GL_INTEREST_INCOME,Interest Income,GL,Maps account_code to 'Interest Income',gl,Interest Income,account_code,account,true,69
GL_OTHER_GAINS_LOSSES,Other Gains/Losses,GL,Maps account_code to 'Other Gains/Losses',gl,Other Gains/Losses,account_code,account,true,70
GL_INTEREST_EXPENSE,Interest Expense,GL,Maps account_code to 'Interest Expense',gl,Interest Expense,account_code,account,true,71
GL_DD&A,DD&A,GL,Maps account_code to 'DD&A',gl,DD&A,account_code,account,true,72
GL_IMPAIRMENT_EXPENSE,Impairment Expense,GL,Maps account_code to 'Impairment Expense',gl,Impairment Expense,account_code,account,true,73
GL_BAD_DEBT_EXPENSE,Bad Debt Expense,GL,Maps account_code to 'Bad Debt Expense',gl,Bad Debt Expense,account_code,account,true,74
GL_OTHER_EXPENSES,Other Expenses,GL,Maps account_code to 'Other Expenses',gl,Other Expenses,account_code,account,true,75
LOS_MAP,los_map,,Auto-extracted from SQL on account_billing_category_code,los_map,,account_billing_category_code,account,false,0
LOS_MAP_CNOP,CNOP,LOS_MAP,Maps account_billing_category_code to 'CNOP',los_map,CNOP,account_billing_category_code,account,true,1
LOS_MAP_CACR,CACR,LOS_MAP,Maps account_billing_category_code to 'CACR',los_map,CACR,account_billing_category_code,account,true,2
LOS_MAP_CACQ,CACQ,LOS_MAP,Maps account_billing_category_code to 'CACQ',los_map,CACQ,account_billing_category_code,account,true,3
LOS_MAP_CFRC,CFRC,LOS_MAP,Maps account_billing_category_code to 'CFRC',los_map,CFRC,account_billing_category_code,account,true,4
LOS_MAP_CDRL,CDRL,LOS_MAP,Maps account_billing_category_code to 'CDRL',los_map,CDRL,account_billing_category_code,account,true,5
LOS_MAP_CFAC,CFAC,LOS_MAP,Maps account_billing_category_code to 'CFAC',los_map,CFAC,account_billing_category_code,account,true,6
LOS_MAP_CLHD,CLHD,LOS_MAP,Maps account_billing_category_code to 'CLHD',los_map,CLHD,account_billing_category_code,account,true,7
LOS_MAP_LHD,LHD,LOS_MAP,Maps account_billing_category_code to 'LHD',los_map,LHD,account_billing_category_code,account,true,8
LOS_MAP_LBR,LBR,LOS_MAP,Maps account_billing_category_code to 'LBR',los_map,LBR,account_billing_category_code,account,true,9
LOS_MAP_OHD,OHD,LOS_MAP,Maps account_billing_category_code to 'OHD',los_map,OHD,account_billing_category_code,account,true,10
LOS_MAP_SVC,SVC,LOS_MAP,Maps account_billing_category_code to 'SVC',los_map,SVC,account_billing_category_code,account,true,11
LOS_MAP_CHM,CHM,LOS_MAP,Maps account_billing_category_code to 'CHM',los_map,CHM,account_billing_category_code,account,true,12
LOS_MAP_SWD,SWD,LOS_MAP,Maps account_billing_category_code to 'SWD',los_map,SWD,account_billing_category_code,account,true,13
LOS_MAP_RNM,RNM,LOS_MAP,Maps account_billing_category_code to 'RNM',los_map,RNM,account_billing_category_code,account,true,14
LOS_MAP_CMP,CMP,LOS_MAP,Maps account_billing_category_code to 'CMP',los_map,CMP,account_billing_category_code,account,true,15
LOS_MAP_HSE,HSE,LOS_MAP,Maps account_billing_category_code to 'HSE',los_map,HSE,account_billing_category_code,account,true,16
LOS_MAP_EQU,EQU,LOS_MAP,Maps account_billing_category_code to 'EQU',los_map,EQU,account_billing_category_code,account,true,17
LOS_MAP_COPAS,COPAS,LOS_MAP,Maps account_billing_category_code to 'COPAS',los_map,COPAS,account_billing_category_code,account,true,18
LOS_MAP_SEV,SEV,LOS_MAP,Maps account_billing_category_code to 'SEV',los_map,SEV,account_billing_category_code,account,true,19
LOS_MAP_ADV,ADV,LOS_MAP,Maps account_billing_category_code to 'ADV',los_map,ADV,account_billing_category_code,account,true,20
LOS_MAP_NLOE,NLOE,LOS_MAP,Maps account_billing_category_code to 'NLOE',los_map,NLOE,account_billing_category_code,account,true,21
LOS_MAP_ACCOUNT_BILLING_CATEGORY_,account_billing_category_type_code,LOS_MAP,Maps account_billing_category_code to 'account_billing_category_type_code',los_map,account_billing_category_type_code,account_billing_category_code,account,true,22
AU_OP,AU_Op,,Auto-extracted from SQL on cost_center_area_code,AU_Op,,cost_center_area_code,cost_center,false,0
