XREF_HIERARCHY_KEY,FK_REPORT_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,ID,ID_SOURCE,ID_TABLE,ID_SCHEMA,ID_DATABASE,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_REF_SOURCE,FORMULA_REF_TABLE,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
26,13,Midstream Operating Statement,1,Midstream,8,Cost of Gas,5,Imbalance - Cashout Purchases,116,Imbalance - PL Cashout Purchases,0,,0,,0,,0,,0,,,674-120,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,ImbalanceImbalance - PL Cashout Purchases,,,Total Cost of Gas,false,,,,,,,false
27,14,Midstream Operating Statement,1,Midstream,8,Cost of Gas,10,Transport Deduct,117,Cost of NGLs,0,,0,,0,,0,,0,,,,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,Transport DeductCost of NGLs,,,Total Cost of Gas,false,,,,,,,false
28,18,Midstream Operating Statement,1,Midstream,10,Service Revenue,10,Service Revenue - GTH,,,0,,0,,0,,0,,0,,,GATH,COMPONENT,DIM_PRODUCT_COMPONENT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - GTHService Revenue - GTH,,,Total Service Revenue,true,,,,,,,false
29,18,Midstream Operating Statement,1,Midstream,10,Service Revenue,10,Service Revenue - GTH,,,0,,0,,0,,0,,0,,,515-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - GTHService Revenue - GTH,,,Total Service Revenue,true,,,,,,,false
30,18,Midstream Operating Statement,1,Midstream,10,Service Revenue,10,Service Revenue - GTH,,,0,,0,,0,,0,,0,,,515-110,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - GTHService Revenue - GTH,,,Total Service Revenue,true,,,,,,,false
31,19,Midstream Operating Statement,1,Midstream,10,Service Revenue,11,Service Revenue - CMP,,,0,,0,,0,,0,,0,,,COMP,COMPONENT,DIM_PRODUCT_COMPONENT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - CMPService Revenue - CMP,,,Total Service Revenue,true,,,,,,,false
32,19,Midstream Operating Statement,1,Midstream,10,Service Revenue,11,Service Revenue - CMP,,,0,,0,,0,,0,,0,,,515-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - CMPService Revenue - CMP,,,Total Service Revenue,true,,,,,,,false
33,19,Midstream Operating Statement,1,Midstream,10,Service Revenue,11,Service Revenue - CMP,,,0,,0,,0,,0,,0,,,515-120,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - CMPService Revenue - CMP,,,Total Service Revenue,true,,,,,,,false
34,20,Midstream Operating Statement,1,Midstream,10,Service Revenue,12,Service Revenue - TRT,,,0,,0,,0,,0,,0,,,TRT,COMPONENT,DIM_PRODUCT_COMPONENT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - TRTService Revenue - TRT,,,Total Service Revenue,true,,,,,,,false
35,20,Midstream Operating Statement,1,Midstream,10,Service Revenue,12,Service Revenue - TRT,,,0,,0,,0,,0,,0,,,515-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Service Revenue,Service Revenue - TRTService Revenue - TRT,,,Total Service Revenue,true,,,,,,,false
