XREF_HIERARCHY_KEY,FK_REPORT_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,ID,ID_SOURCE,ID_TABLE,ID_SCHEMA,ID_DATABASE,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
24,42,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,302,NGL,999,N/A,0,,0,,0,,0,,,NGL,PRODUCT_CODE,DIM_PRODUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxNGL,,,Total Taxes,,,,,false
25,9,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,300,Gas,999,N/A,0,,0,,0,,0,,WY Ad Val Tax - Fremont Co.,WYAVT,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremGas,,,Total Taxes,,,,,false
26,9,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,300,Gas,999,N/A,0,,0,,0,,0,,WY Ad Val Tax - Converse Co.,WYAVT1,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremGas,,,Total Taxes,,,,,false
27,9,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,300,Gas,999,N/A,0,,0,,0,,0,,WY Ad Val Tx - Uinta Co.,WYAVT2,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremGas,,,Total Taxes,,,,,false
28,9,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,300,Gas,999,N/A,0,,0,,0,,0,,WY Ad Val Tax - Natrona Co.,WYNATRON,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremGas,,,Total Taxes,,,,,false
29,9,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,300,Gas,999,N/A,0,,0,,0,,0,,AD VALOREM TAX,AVT,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremGas,,,Total Taxes,,,,,false
30,9,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,300,Gas,999,N/A,0,,0,,0,,0,,Colo Ad Valorem Tax,ADVAL,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremGas,,,Total Taxes,,,,,false
31,9,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,300,Gas,999,N/A,0,,0,,0,,0,,Ad Valorem Tax - General,NOPAVT,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremGas,,,Total Taxes,,,,,false
32,9,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,300,Gas,999,N/A,0,,0,,0,,0,,,GAS,PRODUCT_CODE,DIM_PRODUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremGas,,,Total Taxes,,,,,false
33,10,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,301,Oil,999,N/A,0,,0,,0,,0,,WY Ad Val Tax - Fremont Co.,WYAVT,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremOil,,,Total Taxes,,,,,false
34,10,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,301,Oil,999,N/A,0,,0,,0,,0,,WY Ad Val Tax - Converse Co.,WYAVT1,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremOil,,,Total Taxes,,,,,false
35,10,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,301,Oil,999,N/A,0,,0,,0,,0,,WY Ad Val Tx - Uinta Co.,WYAVT2,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremOil,,,Total Taxes,,,,,false
36,10,Lease Operating Statement,1,Upstream,6,Taxes,14,Ad Valorem,301,Oil,999,N/A,0,,0,,0,,0,,WY Ad Val Tax - Natrona Co.,WYNATRON,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesAd ValoremOil,,,Total Taxes,,,,,false
