XREF_HIERARCHY_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
118,Lease Operating Statement,1,Upstream,20,Capital Spend,51,Drilling,8310,Tangible Drilling Cost,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXTangible Drilling CostOperated,,,Total Capital Spend,false,,,,,false
119,Lease Operating Statement,1,Upstream,20,Capital Spend,52,Completion,8410,Intangible Completion Cost,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXIntangible Completion CostNon Operated,,,Total Capital Spend,false,,,,,false
120,Lease Operating Statement,1,Upstream,20,Capital Spend,52,Completion,8410,Intangible Completion Cost,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXIntangible Completion CostOperated,,,Total Capital Spend,false,,,,,false
121,Lease Operating Statement,1,Upstream,20,Capital Spend,52,Completion,8710,Tangible Completion Cost,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXTangible Completion CostOperated,,,Total Capital Spend,false,,,,,false
122,Lease Operating Statement,1,Upstream,20,Capital Spend,53,Facility,8910,Intangible Facility Cost,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXIntangibleFacility Cost,,,Total Capital Spend,false,,,,,false
200,Lease Operating Statement,1,Upstream,20,Capital Spend,53,Facility,8912,Tangible Facility Cost,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXTangibleFacility Cost,,,Total Capital Spend,false,,,,,false
123,Lease Operating Statement,1,Upstream,20,Capital Spend,55,Midstream,9110,Midstream facility costs,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendMidstream CAPEXMidstream facility costs,,,Total Capital Spend,false,,,,,false
124,Lease Operating Statement,1,Upstream,20,Capital Spend,55,Midstream,9310,Midstream facility costs accrual,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendMidstream CAPEXMidstream facility costs accrual,,,Total Capital Spend,false,,,,,false
125,Lease Operating Statement,1,Upstream,20,Capital Spend,56,Accrued,9410,Accrued CAPEX,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXAccrued CAPEX,,,Total Capital Spend,false,,,,,false
126,Lease Operating Statement,1,Upstream,20,Capital Spend,57,Other Upstream,9610,MOP,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXMOP,,,Total Capital Spend,false,,,,,false
127,Lease Operating Statement,1,Upstream,20,Capital Spend,57,Other Upstream,9710,Accrued MOP,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXAccrued MOP,,,Total Capital Spend,false,,,,,false
4,Lease Operating Statement,1,Upstream,1,Total MCFE,8,Total MCFE,8,Total MCFE,999,N/A,0,,0,,0,,0,,false,false,false,false,true,true,true,false,false,false,Volumes,Total MCFETotal MCFE,,,Total MCFE,false,1,Total MCFE,Sum,,false
8,Lease Operating Statement,1,Upstream,3,Total Revenue,4,Total Revenue,4,Total Revenue,999,N/A,0,,0,,0,,0,,false,false,false,false,true,true,false,false,false,false,Revenue,Total RevenueTotal Revenue,,,Total Revenue,true,1,Total Revenue,Sum,,false
22,Lease Operating Statement,1,Upstream,7,Total Taxes,18,Total Taxes,18,Total Taxes,999,N/A,0,,0,,0,,0,,false,false,false,false,true,true,false,false,false,false,Taxes,Total TaxesTotal Taxes,,,Total Taxes,false,1,Total Taxes,Sum,,false
28,Lease Operating Statement,1,Upstream,9,Total Deducts,24,Total Deducts,24,Total Deducts,999,N/A,0,,0,,0,,0,,false,false,false,false,true,true,false,false,false,false,Deducts,Total DeductsTotal Deducts,,,Total Deducts,false,1,Total Deducts,Sum,,false
29,Lease Operating Statement,1,Upstream,10,Total Taxes and Deducts,25,Total Taxes and Deducts,25,Total Taxes and Deducts,999,N/A,0,,0,,0,,0,,false,false,false,false,true,true,false,false,false,false,Total Taxes and DeductsTotal Taxes and Deducts,Total Taxes and DeductsTotal Taxes and Deducts,,,Total Taxes and Deducts,false,2,Total Taxes,Add,,false
30,Lease Operating Statement,1,Upstream,10,Total Taxes and Deducts,25,Total Taxes and Deducts,25,Total Taxes and Deducts,999,N/A,0,,0,,0,,0,,false,false,false,false,true,true,false,false,false,false,Total Taxes and DeductsTotal Taxes and Deducts,Total Taxes and DeductsTotal Taxes and Deducts,,,Total Taxes and Deducts,false,2,Total Deducts,Add,,false
31,Lease Operating Statement,1,Upstream,11,Gross Profit,26,Gross Profit,26,Gross Profit,999,N/A,0,,0,,0,,0,,false,false,false,false,true,true,false,false,false,false,Gross ProfitGross Profit,Gross ProfitGross Profit,,,Gross Profit,false,3,Total Revenue,Add,,false
35,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,13,Artificial Lift Equip,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringArtificial Lift EquipOperated,,,Total Operating Expense,false,,,,,false
36,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,14,Automation/Measrmt,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringAutomation/MeasrmtOperated,,,Total Operating Expense,false,,,,,false
37,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,15,Bottom Hole Pump,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringBottom Hole PumpOperated,,,Total Operating Expense,false,,,,,false
38,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,16,Chemicals,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringChemicalsOperated,,,Total Operating Expense,false,,,,,false
39,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,17,Tubing,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringTubingOperated,,,Total Operating Expense,false,,,,,false
40,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,18,Communications,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringCommunicationsOperated,,,Total Operating Expense,false,,,,,false
41,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,19,Labor,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringLaborOperated,,,Total Operating Expense,false,,,,,false
42,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,20,Completion/Workover Rigs,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringCompletion/Workover RigsOperated,,,Total Operating Expense,false,,,,,false
43,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,21,Compressors/Pumps,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringCompressors/PumpsOperated,,,Total Operating Expense,false,,,,,false
44,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,23,Disposal,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringDisposalOperated,,,Total Operating Expense,false,,,,,false
45,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,24,EIS Costs,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringEIS CostsOperated,,,Total Operating Expense,false,,,,,false
46,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,25,Electrc Svcs/Dist Sys,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringElectrc Svcs/Dist SysOperated,,,Total Operating Expense,false,,,,,false
47,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,26,Equipment Expense,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringEquipment ExpenseOperated,,,Total Operating Expense,false,,,,,false
48,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,27,Field Office,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringField OfficeOperated,,,Total Operating Expense,false,,,,,false
49,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,28,Flowback & Testing,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringFlowback & TestingOperated,,,Total Operating Expense,false,,,,,false
50,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,29,Fluids/Solids/Control/Water,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringFluids/Solids/Control/WaterOperated,,,Total Operating Expense,false,,,,,false
51,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,30,Fuel & Power,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringFuel & PowerOperated,,,Total Operating Expense,false,,,,,false
52,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,31,Gas Marketing,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringGas MarketingOperated,,,Total Operating Expense,false,,,,,false
53,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,32,HSE,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringHSEOperated,,,Total Operating Expense,false,,,,,false
54,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,33,Inspection,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringInspectionOperated,,,Total Operating Expense,false,,,,,false
55,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,34,Insurance,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringInsuranceOperated,,,Total Operating Expense,false,,,,,false
56,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,35,Landman,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringLandmanOperated,,,Total Operating Expense,false,,,,,false
57,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,36,Legal Fees,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringLegal FeesOperated,,,Total Operating Expense,false,,,,,false
58,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,37,Line Pipe,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringLine PipeOperated,,,Total Operating Expense,false,,,,,false
59,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,38,Location,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringLocationOperated,,,Total Operating Expense,false,,,,,false
60,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,39,Logging,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringLoggingOperated,,,Total Operating Expense,false,,,,,false
61,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,40,Meters,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringMetersOperated,,,Total Operating Expense,false,,,,,false
62,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,41,Minimum Royalty,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringMinimum RoyaltyOperated,,,Total Operating Expense,false,,,,,false
63,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,42,Miscellaneous,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringMiscellaneousOperated,,,Total Operating Expense,false,,,,,false
64,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,43,Mob/Demob,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringMob/DemobOperated,,,Total Operating Expense,false,,,,,false
34,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,12,Ad Valorem Taxes,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringAd Valorem TaxesOperated,,,Total Operating Expense,false,,,,,false
65,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,12,Ad Valorem Taxes,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringAd Valorem TaxesNon Operated,,,Total Operating Expense,false,,,,,false
66,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,16,Chemicals,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringChemicalsNon Operated,,,Total Operating Expense,false,,,,,false
67,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,26,Equipment Expense,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringEquipment ExpenseNon Operated,,,Total Operating Expense,false,,,,,false
68,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,19,Labor,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringLaborNon Operated,,,Total Operating Expense,false,,,,,false
69,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,23,Disposal,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringDisposalNon Operated,,,Total Operating Expense,false,,,,,false
70,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,27,Facility Expense,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringFacility ExpenseNon Operated,,,Total Operating Expense,false,,,,,false
71,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,28,Repair,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringRepairNon Operated,,,Total Operating Expense,false,,,,,false
72,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,45,COPAS,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringCOPASNon Operated,,,Total Operating Expense,false,,,,,false
73,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,46,Other LOE,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOther LOENon Operated,,,Total Operating Expense,false,,,,,false
74,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,47,Oilfield,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOilfieldNon Operated,,,Total Operating Expense,false,,,,,false
75,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,48,Operated,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedNon Operated,,,Total Operating Expense,false,,,,,false
76,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,49,Other LOE,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOther LOENon Operated,,,Total Operating Expense,false,,,,,false
77,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,50,Perforating,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringPerforatingNon Operated,,,Total Operating Expense,false,,,,,false
78,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,51,Pipe,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringPipeOperated,,,Total Operating Expense,false,,,,,false
79,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,52,Pipeline,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringPipelineOperated,,,Total Operating Expense,false,,,,,false
80,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,53,Processing,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringProcessingOperated,,,Total Operating Expense,false,,,,,false
81,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,54,Regulatory,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringRegulatoryOperated,,,Total Operating Expense,false,,,,,false
82,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,28,Repair,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringRepairOperated,,,Total Operating Expense,false,,,,,false
83,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,55,Sales and Use Tax on Gas Used,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringSales and Use Tax on Gas UsedOperated,,,Total Operating Expense,false,,,,,false
84,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,56,Shut-In Expense,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringShut-In ExpenseOperated,,,Total Operating Expense,false,,,,,false
85,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,57,Slickline,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringSlicklineOperated,,,Total Operating Expense,false,,,,,false
86,Lease Operating Statement,1,Upstream,12,Operating Expense,34,Recurring,58,Stimulation,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringStimulationOperated,,,Total Operating Expense,false,,,,,false
